nama_daerah,AHHL,AHHP,HLS,IPM,PPM
Kota Magelang,75.11,78.82,14.62,82.15,5.94
Kota Malang,71.4,75.22,15.79,84.06,3.91
Kota Manado,69.92,73.76,14.2,80.63,5.43
Kota Mataram,69.98,73.74,15.68,80.6,8
Kota Medan,71.37,75.07,14.79,82.76,7.94
Kota Metro,69.69,73.55,14.79,78.93,6.78
Kota Mojokerto,71.43,75.23,14.13,80.92,5.57
Kota Padang,71.83,75.46,16.57,83.99,4.06
Kota Padang Panjang,70.87,74.63,15.47,80.17,5.31
Kota Padangsidimpuan,67.34,71.43,14.62,76.96,6.23
Kota Pagar Alam,64.86,68.78,13.5,71.19,8.18
Kota Palangka Raya,71.26,75.09,15.13,82.2,3.52
Kota Palembang,69.01,72.93,14.46,80.57,9.77
Kota Palopo,68.93,72.8,15.13,79.94,7.35
Kota Palu,69.01,72.99,16.52,82.88,5.94
Kota Pangkal Pinang,71.48,75.23,13.3,80.4,4.04
Kota Parepare,69.33,73.18,14.55,79.64,5.27
Kota Pariaman,68.26,72.3,14.8,78.88,4.26
Kota Pasuruan,69.61,73.47,13.67,77.75,6.32
Kota Payakumbuh,71.96,75.65,14.57,80.61,5.19
Kota Pekalongan,72.54,76.26,12.89,77.22,6.71
Kota Pekanbaru,70.51,74.26,15.84,82.89,3.15
Kota Pematang Siantar,71.9,75.58,14.61,81.17,7.2
Kota Pontianak,71.15,74.91,15.06,81.57,4.2
Kota Prabumulih,68.47,72.37,13.41,77.08,10.13
Kota Probolinggo,68.3,72.27,13.98,76.27,6.18
Kota Sabang,68.55,72.46,14.97,78.32,14.58
Kota Salatiga,75.5,79.44,15.46,85.72,4.57
Kota Samarinda,72.62,76.23,15.4,82.81,4.3
Kota Sawah Lunto,68.15,71.99,13.86,75.13,2.33
Kota Semarang,75.79,79.43,15.57,85.25,4.03
Kota Serang,65.91,70.06,12.83,73.99,5.65
Kota Sibolga,67.29,71.18,13.43,75.66,11.39
Kota Singkawang,70.27,74.08,12.95,73.87,4.53
Kota Solok,71.83,75.56,14.37,80,3.07
Kota Sorong,69.01,72.87,14.43,79.93,13.67
Kota Subulussalam,62.14,65.91,15.31,68.04,16.38
Kota Sukabumi,70.75,74.44,13.62,76.85,7.2
Kota Sungai Penuh,70.31,74.1,14.84,77.4,2.92
Kota Surabaya,72.27,75.97,14.87,84.14,3.96
Kota Surakarta,75.57,79.23,15.07,84.4,8.31
Kota Tangerang,69.61,73.49,13.9,80.02,5.43
Kota Tangerang Selatan,70.55,74.31,14.7,82.89,2.36
Kota Tanjung Balai,61.58,65.27,13.15,71.1,11.97
Kota Tanjung Pinang,70.21,74.05,14.18,80.63,6.86
Kota Tarakan,73.46,74.54,14.22,77.96,5.56
Kota Tasikmalaya,70.52,74.21,13.5,75.04,11.1
Kota Tebing Tinggi,69.02,72.85,13.13,77.45,8.79
Kota Tegal,72.66,76.46,13.25,77.43,7.64
Kota Ternate,69.08,72.95,15.92,82.12,3.14
Kota Tidore Kepulauan,67.46,71.33,14.49,72.91,6.56
Kota Tomohon,70.07,73.9,14.38,78.89,5.38
Kota Tual,63.72,67.54,14.02,70.21,20.01
Kota Yogyakarta,72.92,76.4,17.66,88.77,6.26
Kotawaringin Barat,68.66,72.59,12.78,74.44,4.11
Kotawaringin Timur,67.85,71.82,12.89,72.66,5.66
Kuantan Singingi,66.43,70.54,13.38,72.33,7.89
Kubu Raya,68.6,72.64,13.9,70.25,4.08
Kudus,74.87,78.66,13.28,77.22,7.23
Kulon Progo,73.39,77.18,14.49,76.14,15.62
Kuningan,71.98,75.61,12.27,71.26,11.88
Kupang,63.01,66.68,13.9,66.57,21.37
Kutai Barat,71.13,74.95,13.36,74.5,9.56
Kutai Kartanegara,70.67,74.5,13.65,75.91,7.28
Kutai Timur,71.5,75.32,13.02,75.53,8.81
LAMPUNG,68.86,72.69,12.78,71.81,10.69
Labuhan Batu,67.92,71.9,13.26,74.18,7.84
Labuhan Batu Selatan,66.72,70.71,13.53,73.67,7.73
Labuhan Batu Utara,67.59,71.48,13.58,74.4,8.98
