nama_daerah,AHHL,AHHP,HLS,IPM,PPM
Penukal Abab Lematang Ilir,66.1,70.28,12.5,67.48,9.82
Pesawaran,67.12,71.05,12.63,68.52,11.86
Pesisir Barat,61.71,65.52,12.16,66.73,12.64
Pesisir Selatan,68.93,72.85,13.37,72.02,7.49
Pidie,64.95,68.85,14.52,72.31,18.59
Pidie Jaya,68.21,72.08,15.01,75.16,18.28
Pinrang,67.88,71.56,13.28,73.55,8.55
Pohuwato,62.38,66.14,12.48,68.02,17.11
Polewali Mandar,60.6,64.34,13.5,66.22,15.66
Ponorogo,70.9,74.69,13.78,73.01,9.11
Poso,69.25,73.06,13.75,72.87,14.23
Pringsewu,68.25,72.16,12.93,72.29,8.32
Probolinggo,65.34,69.31,12.64,68.29,16.45
Pulang Pisau,66.07,70.03,12.52,70.27,4.56
Pulau Morotai,65.33,69.25,13.02,65.68,5.11
Pulau Taliabu,60.31,64.04,12.88,62.9,7.13
Puncak,64.39,67.73,5.6,45.6,37.49
Puncak Jaya,63.48,67.19,7.53,51.78,35.94
Purbalingga,71.3,75.09,12.03,70.69,14.18
Purwakarta,69.31,73.08,12.25,72.65,8.41
Purworejo,73,76.69,13.55,75.11,10.87
RIAU,69.82,73.62,13.42,74.79,6.67
Raja Ampat,62.94,66.73,12.12,65.86,15.83
Rejang Lebong,66.85,70.68,14.2,72.92,14.65
Rembang,72.73,76.43,12.3,72.53,14.02
Rokan Hilir,68.41,72.29,12.89,71.2,7.01
Rokan Hulu,68.18,72.09,12.94,71.82,9.62
Rote Ndao,62.98,66.69,13.23,64.59,25.78
SULAWESI BARAT,63.39,67.19,12.89,68.2,11.21
SULAWESI SELATAN,68.77,72.65,13.55,74.05,8.06
SULAWESI TENGAH,66.91,70.85,13.34,71.56,11.77
SULAWESI TENGGARA,69.35,73.37,13.71,73.48,11.21
SULAWESI UTARA,69.89,73.72,12.97,75.03,7.25
SUMATERA BARAT,67.7,71.57,14.3,74.49,5.97
SUMATERA SELATAN,68.11,71.95,12.64,72.3,10.97
SUMATERA UTARA,67.35,71.21,13.49,74.02,7.99
Sabu Raijua,58.82,62.45,13.19,59.58,28.13
Sambas,67.07,70.88,12.76,69.31,6.53
Samosir,69.39,73.3,13.52,72.88,11.63
Sampang,66.02,70.03,12.55,64.65,20.83
Sanggau,69.46,73.3,11.88,68.43,4.67
Sarmi,64.57,68.34,12.38,66.72,14.05
Sarolangun,67.13,71.34,12.6,72.01,8.36
Sekadau,70.01,73.92,11.93,67.25,5.66
Seluma,65.94,69.82,13.33,68.97,17.23
Semarang,74,77.69,13.06,75.67,6.96
Seram Bagian Barat,59.94,63.64,13.7,68.39,22.31
Seram Bagian Timur,57.78,61.34,12.92,66.24,21.03
Serang,62.82,66.61,12.87,69.03,4.51
Serdang Bedagai,66.86,70.75,12.65,72.47,6.97
Seruyan,67.46,71.18,12.04,69.05,7.08
Siak,69.16,73.01,12.89,75.45,5.08
Siau Tagulandang Biaro,68.87,72.76,12.04,70.31,8.32
Sidenreng Rappang,68.01,71.93,13.03,73.21,5.02
Sidoarjo,72.15,75.83,15.22,82.31,4.53
Sigi,68.07,71.95,13.13,70.51,12.06
Sijunjung,64.38,68.24,12.76,70.23,5.78
Sikka,65.49,69.34,13.67,67.41,11.89
Simalungun,69.38,73.27,13.09,74.97,7.72
Simeulue,63.33,67.15,14.53,69.01,17.69
Sinjai,65.38,69.28,13.27,69.52,7.82
Sintang,69.87,73.73,12.32,69.42,8.03
Situbondo,67.22,71.15,13.2,69.75,11.51
Sleman,73.08,76.73,16.79,85.61,7.46
Solok,66.77,70.71,13.56,71.02,7.31
Solok Selatan,65.94,69.99,13.07,71.5,6.56
Soppeng,68.01,71.6,13.22,71.39,6.9
Sorong,64.32,68.14,14.08,68.29,25.71
Sorong Selatan,64.47,68.3,13.29,64.5,17.83
Sragen,74,77.64,12.93,75.53,12.41
Subang,70.78,74.44,12.11,71.36,9.49
Sukabumi,69.27,73.13,12.39,68.97,6.87
Sukamara,69.55,73.46,12.17,69.85,4.14
Sukoharjo,75.99,79.72,13.92,79.3,7.47
Sumba Barat,65.14,69.05,13.4,66.06,26.52
Sumba Barat Daya,66.58,70.5,13.11,64.27,27.2
Sumba Tengah,66.43,70.33,13.14,64.31,30.84
Sumba Timur,63.22,67.05,12.87,67.68,27.04
Sumbawa,65.77,69.62,13.34,70.55,12.87
Sumbawa Barat,66.34,70.21,13.68,73.86,12.23
Sumedang,70.77,74.49,13.02,73.73,9.1
Sumenep,69.58,73.43,13.59,69.26,17.78
Supiori,64.16,67.95,13.2,65.15,37.72
Tabalong,68.62,72.49,12.92,74.41,5.64
Tabanan,71.84,75.53,13.29,78.42,4.4
Takalar,65.28,69.24,12.5,69.47,7.75
Tambrauw,58.43,61.96,12.45,56.32,29.88
Tana Tidung,70.74,71.57,12.61,70.08,4.47
Tana Toraja,71.48,75.22,14.1,71.67,10.79
Tanah Bumbu,68.53,72.36,12.61,72.95,3.41
Tanah Datar,68.12,72.04,15.05,74.9,4.28
Tanah Laut,67.62,71.52,12.43,71.43,3.74
Tangerang,67.93,71.84,12.88,74.09,6.55
Tanggamus,66.67,70.56,12.33,68.52,10.28
Tanjung Jabung Barat,66.13,70.16,12.68,69.93,9.54
Tanjung Jabung Timur,64.42,68.23,12.21,67.54,10.14
Tapanuli Selatan,63.05,66.82,13.72,72.14,6.92
Tapanuli Tengah,65.19,69.17,13.5,71.52,11.8
Tapanuli Utara,66.72,70.7,13.74,75.23,8.21
Tapin,68.62,72.47,12.34,72.51,3.33
Tasikmalaya,67.78,71.59,12.64,68.36,10.23
Tebo,67.96,71.98,12.93,71.32,6.12
Tegal,69.83,73.61,12.96,70.77,6.81
Teluk Bintuni,59.21,62.81,12.62,66.75,26.99
Teluk Wondama,58.46,62.03,11.91,62.36,28.47
Temanggung,73.81,77.57,12.62,71.87,8.67
Timor Tengah Selatan,64.51,68.39,12.62,64.36,24.68
Timor Tengah Utara,65.09,68.96,13.36,65.83,20.89
Tojo Una-Una,63.96,67.75,12.43,66.97,16.36
Toli-Toli,64.27,68.04,13.17,68.37,12.45
Tolikara,63.95,67.68,9.03,52.05,31.22
Toraja Utara,71.46,75.23,13.43,71.85,10.73
Trenggalek,71.95,75.65,12.63,72.24,10.5
Tuban,69.58,73.45,12.54,71.23,14.36
Tulang Bawang Barat,68.02,71.95,12.12,68.46,7.22
Tulangbawang,67.98,71.94,12.3,70.66,7.88
Tulungagung,72.27,75.96,13.36,75.09,6.28
Wajo,65.41,69.41,13.32,71.52,6.47
Wakatobi,68.34,72.6,13.53,72.02,14.36
Waropen,64.51,68.31,12.85,66.92,29.85
Way Kanan,67.41,71.38,12.44,69.31,10.43
Wonogiri,74.44,78.13,12.61,72.55,10.71
Wonosobo,70.01,73.84,11.81,69.82,15.28
Yahukimo,64.15,67.94,8.05,51.98,33.82
Yalimo,63.4,67.37,9.8,51.85,30.02
